ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
263.68271501101714,-32.22889938361073,7.854727001177814,4054645046656721536,10.026127,0.7482872,102638241,9.62,1.2789526051482449e-05
263.65187238118904,-32.179541793220174,11.651642049577278,4054646111821898368,9.003038,0.72598934,102637485,8.57,0.00015699471021832673
262.5032267845867,-32.942187740649814,7.467251031051425,4054688550391044992,14.5404825,1.9742556,162541712,13.45,0.00011339866867265036
262.46006736699763,-32.64093723064606,7.707738408786142,4054708513399264512,15.172357,2.6006374,162546388,13.74,0.0001741071850441416
262.2201460397438,-32.84182735205392,5.322710215873822,4054728579486948992,15.743105,2.437848,161650149,14.55,8.21909699661159e-05
261.83657768026524,-32.546798539868064,11.434772316779885,4054750294841982592,8.25931,0.6105161,160777457,7.94,0.00012218973781061036
262.23159780840365,-32.73294841493097,17.856038007206557,4054753726504902912,10.078329,1.242815,162103493,9.29,0.00017503916296010428
262.007445149598,-32.48339631121324,5.941253538355262,4054774793336792960,9.54033,0.61876774,161132119,9.17,3.8145120530129654e-05
263.1454700016009,-32.614053319253244,1.5774138844385084,4054796573099398144,9.523695,1.7134495,100583634,8.54,0.00014942475645735576
263.09776833271826,-32.534132827058485,4.690106615838085,4054797981848669952,10.667762,0.8588047,100582406,10.16,4.264052357444994e-05
262.79230045727815,-32.514109024580655,7.173689739502427,4054807022779776000,15.975985,2.6191273,163885617,14.78,8.927947472856859e-05
262.8629097283323,-32.50431443628313,5.5636537968364,4054807843093892352,14.429942,1.9707003,163885468,13.33,0.0001132992046764041
263.05500177976944,-32.28344412744652,10.234528573330213,4054816884024174208,8.784271,0.6647644,100185748,8.41,5.65639561106379e-05
263.39144483593327,-32.25040221505678,12.069351372789084,4054826500433929600,13.038446,2.0687485,101599678,11.99,0.00010462357131853334
263.58575451698476,-32.10048835876569,11.566687199335888,4054834476211812224,14.003197,2.06355,102247167,13.04,0.0001728164671991127
263.43791140745117,-31.916359015806155,8.5473315404157,4054852411976021632,15.5813465,2.009285,101595036,14.64,0.00025819828589239706
263.2974465718356,-31.81917313388987,10.741496235527224,4054857291078173824,15.823491,2.9325619,101198185,14.57,0.00013445999113022763
262.6676131107733,-32.06172659861966,7.199747282390797,4054872890400447360,7.755882,0.12528133,163553933,7.71,2.98314894846342e-05
262.5652227079533,-32.121729916528196,2.5899063396018023,4054878491037831808,6.7416453,1.8442206,162889283,5.62,3.53239327127354e-05
263.00013846852016,-31.878271155459043,4.879573977476513,4054900103314985856,10.162163,0.73202896,100190818,9.73,4.3389326352530084e-05
263.1353879149592,-31.904025620814924,13.783587823999238,4054902130539377664,15.772156,3.0550442,100573980,14.12,7.549760171041985e-05
262.9024030445332,-31.546608823319424,1.2198191939864023,4054925048485539328,9.062966,1.8181667,163774270,8.04,8.869507067040579e-06
264.6720056620845,-32.485271480458934,7.375483134530651,4054939685714723072,9.254079,0.62892437,106320647,8.89,2.710046758069341e-05
